FirstName LastName,Wheat,Paddy,Rubber,Maize
Emely Swift,9185,1796,9064,9142
Alice Brooks,5433,4626,NA,3555
Mackenzie Herbert,NA,3775,9464,9916
Alice Cavanagh,8985,2598,6480,NA
Tony Flynn,4879,482,NA,5125
Madelyn Hamilton,1729,6623,7494,6836
Carl Mason,6425,6432,8378,1479
Rocco Corbett,6731,1361,402,6030
Rufus Lewis,5570,3624,4404,8406
Rosalyn Hall,3490,8979,3362,7140
Camellia Daniells,6669,7717,5071,293
Dalia Jackson,5314,7330,NA,3158
Hayden Shaw,2064,1539,4387,428
Freya Ebden,1242,NA,2742,1488
Alan Davies,8238,9747,2401,4682
Denny Thompson,4961,8921,5266,8872
Destiny Sloan,7039,8101,181,NA
Eve Skinner,NA,3777,1608,7473
Naomi Stewart,8895,1693,5457,2694
Sabrina Jarrett,3291,8187,5427,1935
Matt Slater,NA,2729,9247,NA
Marilyn Cassidy,NA,8587,1246,NA
Tyler Gallacher,5270,1955,9746,5331
Bob Oliver,8924,9692,NA,8099
Dakota Potter,2078,3321,1950,7505
Nicholas Mason,9755,6967,3453,7849
Martha Burge,9863,7602,1018,2308
Melania Hood,NA,8597,8554,8426
Daniel Button,NA,5081,1871,NA
Ruth Kennedy,1273,NA,4338,710
Brad Ingram,8238,1323,9039,5904
Danny Morley,6706,903,2744,5174
Sebastian Glass,2259,8867,NA,3180
Erin Dyson,7863,NA,1113,6509
Daron Gates,4922,4169,8633,8705
Morgan Cox,9201,2675,7554,5774
Joseph Attwood,7196,NA,NA,7307
Anne Leigh,7469,7495,NA,6178
Joseph Webster,4949,9347,4293,1948
Keira Parr,NA,2103,7865,3065
Joyce Connell,7722,1039,8339,2931
Gabriel Wilson,6707,3241,4425,6316
Harvey London,2903,5716,8630,5029
Bree Glass,8117,125,1559,9055
Rae Hepburn,1410,NA,8547,8124
Chad Lakey,1591,6592,NA,1992
Daria Drummond,7085,1768,9834,6683
Carl Allwood,NA,3126,6463,9636
Josh Pearce,9924,7866,8099,6744
Felicity Shea,NA,1411,7482,6338
Ryan Trent,3161,6530,1044,7494
Peter Quinton,4723,1136,4339,3682
Hayden Skinner,NA,5978,4902,4840
Analise Grady,540,NA,1905,8176
Henry Thomas,2208,2886,NA,NA
Ryan Ross,7118,7233,1154,5071
Nancy Flett,4788,1330,NA,4463
Andie Phillips,8117,323,6790,1389
Caydence Dickson,8052,8523,9190,1410
Willow Allen,NA,NA,2095,649
Maribel Beal,7988,NA,6716,NA
Javier Ellis,869,2617,4034,9710
Adelaide Huggins,1852,NA,9100,8639
Matt Norton,4664,2220,5136,7161
Roger Hastings,4633,8471,4611,3701
Oliver Mccall,5817,17,NA,NA
Leroy Flett,8147,NA,662,7182
Lindsay Needham,2507,2358,9419,NA
Belinda Summers,9414,NA,6836,8714
Isla Salt,9462,2108,9954,1905
Doris Marshall,4029,698,8152,183
Tyler Collins,NA,6809,NA,4550
Tom Cartwright,9859,3366,9087,9188
Erick Faulkner,NA,6686,1943,6414
John Stubbs,NA,5998,7619,2561
Leilani Wilkinson,1066,5212,NA,NA
Kate Michael,2164,2600,4707,NA
Anne Russel,NA,4591,5958,8402
Sloane Lane,9991,2004,5332,NA
Chad Vince,NA,8797,NA,6376
Robyn Cooper,9435,8212,9268,NA
Alan Thatcher,5129,1163,NA,4138
Barry Stevens,3339,3574,5014,6257
Savannah Greenwood,6585,NA,6752,2212
Jacob Darcy,2668,8039,NA,5819
Molly Snell,8108,3596,9420,8007
Noah Dale,4614,4150,NA,9989
Makenzie Bristow,5613,1603,3645,5042
Raquel Yang,1972,4348,7992,1418
Anais Riley,NA,NA,NA,2516
Eduardo Morris,9506,NA,NA,1592
Kurt Stewart,8246,9322,8658,NA
Fred Rodgers,NA,8158,3798,429
Mona Cavanagh,2354,6819,2622,NA
Karen Tutton,138,5909,6123,5971
Chuck Keys,9027,6896,5423,6114
Nathan Vincent,8297,997,9335,7992
Sofie Ryan,6006,3380,415,2249
Elijah Powell,1457,6987,8873,7223
Eden Whitehouse,8339,6948,6460,NA
Paige Clayton,NA,8260,9259,NA
Tyson Ralph,5426,5753,4501,9835
Rae Cooper,6462,904,7235,2568
Benny Flynn,2453,3690,9165,NA
Holly Rixon,3892,4830,5708,NA
Catherine Reynolds,7902,9589,9864,8805
Dalia Lucas,1015,NA,3832,5644
Deborah Dobson,6808,5335,NA,7644
Greta Pond,1629,2902,6201,8822
Grace Mason,6872,7378,NA,5834
Jacqueline Saunders,NA,4307,8600,NA
Danny Wren,6280,NA,8841,NA
Mason Emerson,8430,7267,NA,NA
Leroy Martin,NA,818,NA,9925
Maxwell Samuel,5190,4821,NA,NA
Lucas Whittle,4563,1488,NA,NA
Cadence Hopkins,2162,2576,1378,1478
Ruth Willson,5337,8975,474,7705
Jayden Phillips,6599,2996,NA,1171
Phoebe Reading,NA,3453,4977,NA
Maxwell Hunter,3529,NA,3594,9592
Marina Pickard,2435,NA,9200,NA
Henry Burge,NA,5908,645,560
Nicole Jobson,8141,1907,6849,NA
Janelle Pierce,3317,6791,1305,NA
Sarah Tanner,7996,1300,517,660
Martin Lloyd,5118,2724,476,NA
Hannah Whittle,9412,4911,3870,9620
Melania Wilkinson,1395,6024,8512,NA
Alexander Tate,1869,8302,NA,7612
Janelle Page ,7575,4961,1376,224
Nathan Verdon,NA,5470,6911,4722
Mavis Stevenson,5514,7030,6950,1551
Danny Edwards,6638,3246,3944,598
Evelynn Bingham,5842,3361,3497,6706
Marilyn Styles,9439,1085,9208,2252
Ciara Archer,5527,7507,9990,6660
Rocco Gonzales,7779,3465,4989,6479
Denis Flett,1577,9016,474,1941
Anthony Horton,NA,NA,3581,1589
Trisha Crawley,NA,2449,2011,8805
Ron Wooldridge,5942,NA,4397,8785
Mason Parker,364,7478,2550,7795
Benjamin Morgan,2451,5929,5190,NA
Nate Uddin,9604,3401,4132,NA
Eryn Brooks,1338,NA,6969,9539
Sadie Healy,28,5414,8318,3098
Lily Donnelly,3667,NA,2090,3127
Brad Butler,4274,6931,772,5067
Henry Andersson,1247,NA,6660,5079
Hope Samuel,NA,8919,NA,4044
Danny Barrett,1650,NA,NA,9362
Lucas Simpson,6404,9982,1684,8917
Juliet Palmer,6724,7670,3112,9347
Tony Knight,736,2463,2737,2182
Karen Emerson,7413,NA,NA,1347
Hanna Ebbs,1467,NA,3727,165
Kurt Knight,NA,2485,731,NA
Julius Coll,6354,8025,788,NA
Sebastian Goodman,7791,1772,NA,5704
Alan Stanton,5958,5292,6207,9653
Jayden Dickson,NA,1365,5455,6302
Sebastian Wood,6446,NA,NA,1828
Tony Howard,6030,7533,6106,NA
Fred Cadman,5492,NA,2461,NA
Victoria Jeffery,8505,8037,7181,7124
Tony Wheeler,8572,2171,3785,NA
Martin Rycroft,NA,NA,NA,5637
Owen Lewin,8945,NA,6276,8946
Marvin Utterson,NA,718,4927,5259
Chadwick Ralph,7569,NA,4820,9853
Alba James,9898,5262,NA,NA
Manuel Thatcher,8400,28,6417,NA
Willow Wilde,NA,8069,655,7464
William Saunders,803,NA,3027,5231
Paula Webster,1068,NA,407,NA
Cedrick Graves,4809,NA,1724,9534
Cedrick Farrow,NA,3703,6792,2721
Bart Neal,NA,7704,7774,5732
Matt Collins,6570,349,1111,3724
Lana Campbell,NA,8265,3763,9097
Scarlett Whitmore,NA,3954,8760,2219
Ron Griffiths,NA,4200,4790,NA
Tania Russell,65,NA,3284,527
Daron Randall,3047,40,4044,1447
Kimberly Rossi,8310,NA,4745,9699
Keira Salt,2871,2063,981,277
Jack Reynolds,4623,NA,4840,2524
Tyler Stuart,8016,5956,6127,8347
Amelia Hastings,NA,9278,6156,5142
Julius Thomson,2031,765,NA,3092
Ronald Reynolds,3564,6923,2549,781
Wade Griffiths,5893,NA,6872,NA
Julius Miller,2750,3304,NA,7894
Jackeline Robertson,NA,8927,3,9446
Tyson Mason,1167,6095,2582,369
Sarah Butler,6768,8784,7155,2250
Jack Wills,2591,NA,5291,NA
Iris Noach,7884,6340,2349,NA
Melanie Palmer,NA,1706,6654,2563
Joseph Jordan,NA,NA,2924,7234
Thea Haines,113,NA,9027,1740
Ruth Dyson,NA,554,NA,866
Tony Matthews,NA,NA,8170,9937
Ramon Needham,NA,3785,462,8057
Cherish Cameron,6236,5135,NA,1147
Tony Chapman,NA,2559,4980,NA
Audrey Dickson,5925,8919,6637,1743
Ronald Reynolds,7166,4691,7683,4214
Mina Milner,6216,NA,1433,NA
Olivia Ranks,1258,8125,1363,NA
Rufus Brooks,6941,211,4844,2679
Harvey Vincent,NA,917,9781,856
Vicky Harvey,7978,4482,NA,NA
Maxwell Mullins,1715,2047,5744,72
Josh Weatcroft,NA,NA,8317,9230
Valerie Neville,9461,7348,NA,5187
David Bayliss,NA,4823,NA,NA
Havana Palmer,5462,5640,7058,5564
Amy Parker,NA,2877,NA,NA
Florence Martin,NA,5632,157,9371
Wade Overson,362,3254,NA,5080
Sofie Griffiths,8113,9714,8970,2337
Teagan Henderson,1257,4475,7291,55
Anthony Parr,NA,NA,3010,1804
Harry Blackburn,7731,1499,1071,4784
Joyce Harrington,5680,6521,NA,3394
Denis Lowe,7160,6427,NA,2725
Hanna Cadman,3377,NA,2854,2008
Carl Price,NA,1723,9144,NA
Tyler Watson,NA,NA,NA,4480
Penny Andersson,2130,4949,5536,7118
Angelique Morrison,4590,324,6270,9700
Josephine Dixon,1040,175,4468,8499
Harry Mason,6061,5021,700,7866
Eve Murphy,1267,9098,9226,NA
Valentina Waterhouse,NA,3083,4147,NA
Matt Ebbs,NA,573,5607,8624
Phillip Rogers,8542,NA,7706,NA
Maggie Sinclair,4787,8713,6696,NA
Destiny Benson,980,8572,NA,NA
Janice Garner,1340,6315,1546,NA
Boris Cowan,3686,4790,9733,49
Tony Simpson,9838,1705,7712,914
Abbey Taylor,2334,9357,NA,5462
Susan Crawley,1624,4395,1922,5499
Harvey Mann,NA,3950,9639,6338
Fiona Wren,2417,4705,3474,9055
Owen Quinnell,8741,2459,NA,NA
Robyn Stevens,7792,620,8712,6153
Martin Pierce,8318,2750,5797,5139
Chuck Vernon,7457,3426,1004,8230
Keira Stevenson,5013,3119,978,6379
Doris Mcguire,7503,7354,9944,2506
Dakota Morris,6937,8494,490,2003
Julius Thatcher,NA,4484,1294,6933
Shannon Mitchell,618,8396,9838,94
Ivette Reynolds,NA,4390,NA,9327
Denny Denton,NA,1651,NA,7032
Cherish Lane,886,NA,1980,346
Olivia Stevens,9013,3735,3882,5445
Julius Payne,9764,NA,NA,9763
Violet Harrison,1256,3848,523,NA
Martin Newton,3097,NA,6438,7665
Scarlett Matthews,3102,7077,9299,2175
Daniel Giles,6466,6823,3499,899
Doug Downing,NA,6048,5193,4821
Sage Cameron,8193,NA,7664,3548
Joseph Clifford,1352,4114,NA,8964
Alexander Reid,2380,1512,3971,NA
Remy Woods,2929,8316,3003,1125
Cassidy Thompson,4554,2032,3825,8701
Tiffany Wren,NA,1055,8078,5766
Harvey Calderwood,7904,7675,1149,6785
Leah Yarwood,9100,4963,NA,960
Jaylene Lane,3973,4229,8788,NA
Emerald Carter,1608,NA,NA,9975
Belinda Cunningham,3891,4479,NA,3223
Aisha Walker,1462,4454,NA,5886
Alison Wooldridge,3833,9984,5582,8919
Michael Hastings,5603,278,1658,7928
Jade Rowe,773,7148,8557,NA
Ada Murray,8191,6403,6998,7236
Nick Swan,4416,625,6849,8642
Chanelle Rainford,9512,NA,5663,144
Kaylee Mcgee,7484,6975,4435,4073
Janice Hobbs,5726,9703,NA,NA
Francesca Nicolas,NA,9119,6957,NA
Michael Wilkinson,1220,1709,7440,5164
Karen Mason,3011,3708,3031,NA
Lexi Abbey,7029,9966,9118,3914
Percy Vinton,6654,2863,248,921
Aurelia Ianson,9509,3475,4525,3126
Samantha Parker,NA,NA,9685,3435
Bryon Rothwell,1425,1155,NA,1949
Lorraine Campbell,5347,6524,NA,9431
Logan Neville,2459,2155,NA,6962
Chad Warden,7851,NA,7311,NA
Thea Seymour,1441,5131,758,19
Tania Martin,5254,2522,5030,62
Oliver Richards,5915,NA,840,9159
Daron Ventura,4613,1890,8495,2381
Janice Morgan,4381,NA,1784,4087
Noemi Dillon,6776,5835,8605,66
Johnathan Mason,8480,165,NA,1399
Peter Rivers,6063,555,1819,1896
Deborah Seymour,3366,7055,3316,7090
Hank Phillips,4531,6983,937,2646
Quinn Gallacher,NA,6627,1353,6703
Benjamin Lyon,6161,840,791,8272
Felicity Knight,NA,3708,NA,499
Margot Farrow,989,8361,NA,9527
Rosalee Shelton,5757,NA,573,NA
Molly Coleman,6509,8243,710,NA
Ethan Collis,2390,3384,2421,NA
Felicity Alexander,692,3653,7357,3805
Deborah Rogers,8653,1170,NA,7135
Natalie Russel,NA,NA,NA,3769
Henry Lynn,2802,NA,2528,NA
Russel Yarlett,5207,7895,9728,6008
Daniel Wright,2134,5037,3532,8564
Matthew Giles,5165,NA,5189,NA
Carter Evans,7008,9938,NA,6203
Jackeline Emerson,5162,5965,7853,7235
Chanelle Lewin,6716,6200,3849,7290
Jayden Baker,NA,3859,5671,3805
Gina Shields,435,7057,9093,NA
Caydence Robinson,8591,1678,NA,9264
Leilani Newman,NA,3881,5599,5781
Rae Hastings,5452,4746,5356,6185
Hope Ryan,803,NA,8703,5977
Ilona Connell,668,9374,3027,2278
Barney Shields,NA,7043,2619,NA
Destiny Camden,4244,1771,2679,9632
Ron Silva,3758,585,4672,7272
Liv Ogilvy,727,9695,2741,5555
Crystal Neville,4999,NA,8789,7582
William Villiger,3980,1277,6982,2559
Jacob Ebden,NA,5736,9530,NA
Alexander Spencer,6925,1670,262,7119
Taylor Vince,1539,1551,1400,4522
Bryce Clarkson,4324,1500,6785,NA
Gina Watson,4589,3365,3265,NA
Martin Poulton,4959,5434,NA,3358
Johnny Palmer,NA,8498,5132,7268
